YYYYMMDD;UVIEF;City
20090101;14.541;Brisbane
20090102;14.499;Brisbane
20090103;14.501;Brisbane
20090104;14.617;Brisbane
20090105;14.668;Brisbane
20090106;14.152;Brisbane
20090107;15.167;Brisbane
20090108;14.581;Brisbane
20090109;14.156;Brisbane
20090110;14.34;Brisbane
20090111;13.947;Brisbane
20090112;14.028;Brisbane
20090113;14.267;Brisbane
20090114;13.575;Brisbane
20090115;14.597;Brisbane
20090116;14.594;Brisbane
20090117;13.724;Brisbane
20090118;13.81;Brisbane
20090119;14.487;Brisbane
20090120;14.724;Brisbane
20090121;15.666;Brisbane
20090122;13.988;Brisbane
20090123;15.131;Brisbane
20090124;14.234;Brisbane
20090125;13.55;Brisbane
20090126;14.756;Brisbane
20090127;13.642;Brisbane
20090128;13.856;Brisbane
20090129;13.843;Brisbane
20090130;12.715;Brisbane
20090131;14.414;Brisbane
20090201;13.336;Brisbane
20090202;14.887;Brisbane
20090203;14.856;Brisbane
20090204;13.635;Brisbane
20090205;13.409;Brisbane
20090206;14.232;Brisbane
20090207;13.779;Brisbane
20090208;14.2;Brisbane
20090209;14.568;Brisbane
20090210;14.925;Brisbane
20090211;14.595;Brisbane
20090212;13.388;Brisbane
20090213;14.565;Brisbane
20090214;14.032;Brisbane
20090215;13.195;Brisbane
20090216;13.477;Brisbane
20090217;13.282;Brisbane
20090218;14.214;Brisbane
20090219;13.538;Brisbane
20090220;13.6;Brisbane
20090221;13.488;Brisbane
20090222;14.587;Brisbane
20090223;13.277;Brisbane
20090224;13;Brisbane
20090225;13.278;Brisbane
20090226;10.586;Brisbane
20090227;11.433;Brisbane
20090228;11.24;Brisbane
20090301;12.513;Brisbane
20090302;12.577;Brisbane
20090303;13.109;Brisbane
20090304;13.28;Brisbane
20090305;12.488;Brisbane
20090306;12.098;Brisbane
20090307;12.267;Brisbane
20090308;12.623;Brisbane
20090309;11.716;Brisbane
20090310;12.251;Brisbane
20090311;11.878;Brisbane
20090312;11.486;Brisbane
20090313;10.942;Brisbane
20090314;11.041;Brisbane
20090315;11.451;Brisbane
20090316;10.115;Brisbane
20090317;10.779;Brisbane
20090318;11.52;Brisbane
20090319;10.677;Brisbane
20090320;10.399;Brisbane
20090321;10.028;Brisbane
20090322;10.793;Brisbane
20090323;9.865;Brisbane
20090324;10.055;Brisbane
20090325;10.363;Brisbane
20090326;10.492;Brisbane
20090327;9.731;Brisbane
20090328;9.033;Brisbane
20090329;9.049;Brisbane
20090330;8.831;Brisbane
20090331;9.138;Brisbane
20090401;9.42;Brisbane
20090402;8.907;Brisbane
20090403;8.66;Brisbane
20090404;8.7;Brisbane
20090405;8.542;Brisbane
20090406;8.343;Brisbane
20090407;7.594;Brisbane
20090408;7.499;Brisbane
20090409;7.992;Brisbane
20090410;7.915;Brisbane
20090411;8.177;Brisbane
20090412;8.217;Brisbane
20090413;7.744;Brisbane
20090414;7.422;Brisbane
20090415;7.066;Brisbane
20090416;7.059;Brisbane
20090417;6.872;Brisbane
20090418;6.562;Brisbane
20090419;6.576;Brisbane
20090420;6.354;Brisbane
20090421;6.468;Brisbane
20090422;6.469;Brisbane
20090423;6.323;Brisbane
20090424;6.558;Brisbane
20090425;6.477;Brisbane
20090426;6.439;Brisbane
20090427;6.334;Brisbane
20090428;6.444;Brisbane
20090429;6.206;Brisbane
20090430;6.279;Brisbane
20090501;6.488;Brisbane
20090502;6.288;Brisbane
20090503;5.966;Brisbane
20090504;5.668;Brisbane
20090505;5.682;Brisbane
