YYYYMMDD;UVIEF;City
20090101;14.443;Darwin
20090102;15.493;Darwin
20090103;15.237;Darwin
20090104;14.617;Darwin
20090105;13.809;Darwin
20090106;13.995;Darwin
20090107;14.045;Darwin
20090108;14.091;Darwin
20090109;14.186;Darwin
20090110;14.197;Darwin
20090111;14.309;Darwin
20090112;13.461;Darwin
20090113;13.656;Darwin
20090114;13.963;Darwin
20090115;13.416;Darwin
20090116;14.496;Darwin
20090117;14.457;Darwin
20090118;15.501;Darwin
20090119;15.052;Darwin
20090120;14.792;Darwin
20090121;15.458;Darwin
20090122;15.236;Darwin
20090123;15.357;Darwin
20090124;15.271;Darwin
20090125;16.964;Darwin
20090126;15.87;Darwin
20090127;15.504;Darwin
20090128;15.008;Darwin
20090129;15.211;Darwin
20090130;14.97;Darwin
20090131;16.227;Darwin
20090201;15.127;Darwin
20090202;15.118;Darwin
20090203;15.218;Darwin
20090204;15.882;Darwin
20090205;15.762;Darwin
20090206;14.94;Darwin
20090207;15.397;Darwin
20090208;15.061;Darwin
20090209;16.389;Darwin
20090210;16.529;Darwin
20090211;16.609;Darwin
20090212;17.35;Darwin
20090213;17.033;Darwin
20090214;16.655;Darwin
20090215;15.978;Darwin
20090216;15.945;Darwin
20090217;15.766;Darwin
20090218;15.248;Darwin
20090219;15.309;Darwin
20090220;15.494;Darwin
20090221;15.993;Darwin
20090222;15.919;Darwin
20090223;15.562;Darwin
20090224;15.74;Darwin
20090225;16.486;Darwin
20090226;16.066;Darwin
20090227;16.013;Darwin
20090228;15.788;Darwin
20090301;14.885;Darwin
20090302;15.08;Darwin
20090303;15.18;Darwin
20090304;13.582;Darwin
20090305;14.329;Darwin
20090306;14.438;Darwin
20090307;14.784;Darwin
20090308;14.967;Darwin
20090309;14.561;Darwin
20090310;13.53;Darwin
20090311;14.683;Darwin
20090312;14.665;Darwin
20090313;14.526;Darwin
20090314;14.432;Darwin
20090315;14.141;Darwin
20090316;15.306;Darwin
20090317;14.231;Darwin
20090318;13.713;Darwin
20090319;13.692;Darwin
20090320;14.317;Darwin
20090321;13.773;Darwin
20090322;13.276;Darwin
20090323;14.142;Darwin
20090324;13.795;Darwin
20090325;13.294;Darwin
20090326;12.913;Darwin
20090327;13.213;Darwin
20090328;13.411;Darwin
20090329;13.723;Darwin
20090330;13.885;Darwin
20090331;13.078;Darwin
20090401;11.884;Darwin
20090402;12.691;Darwin
20090403;12.258;Darwin
20090404;12.907;Darwin
20090405;12.375;Darwin
20090406;12.617;Darwin
20090407;12.633;Darwin
20090408;12.739;Darwin
20090409;12.335;Darwin
20090410;12.553;Darwin
20090411;11.947;Darwin
20090412;11.988;Darwin
20090413;11.749;Darwin
20090414;11.82;Darwin
20090415;11.792;Darwin
20090416;11.85;Darwin
20090417;11.435;Darwin
20090418;11.311;Darwin
20090419;11.588;Darwin
