YYYYMMDD;UVIEF;City
20090101;13.697;Perth
20090102;13.476;Perth
20090103;13.503;Perth
20090104;14.393;Perth
20090105;13.592;Perth
20090106;13.594;Perth
20090107;13.999;Perth
20090108;13.866;Perth
20090109;13.732;Perth
20090110;13.752;Perth
20090111;13.301;Perth
20090112;13.278;Perth
20090113;13.535;Perth
20090114;12.681;Perth
20090115;13.966;Perth
20090116;14.029;Perth
20090117;13.285;Perth
20090118;14.182;Perth
20090119;12.354;Perth
20090120;13.357;Perth
20090121;13.883;Perth
20090122;13.859;Perth
20090123;15.093;Perth
20090124;14.136;Perth
20090125;13.676;Perth
20090126;13.609;Perth
20090127;14.234;Perth
20090128;13.908;Perth
20090129;13.038;Perth
20090130;13.401;Perth
20090131;13.172;Perth
20090201;14.019;Perth
20090202;15.215;Perth
20090203;14.295;Perth
20090204;13.959;Perth
20090205;13.466;Perth
20090206;13.14;Perth
20090207;12.761;Perth
20090208;15.313;Perth
20090209;13.313;Perth
20090210;14.15;Perth
20090211;13.497;Perth
20090212;12.76;Perth
20090213;12.766;Perth
20090214;12.092;Perth
20090215;12.594;Perth
20090216;12.972;Perth
20090217;12.442;Perth
20090218;12.144;Perth
20090219;12.419;Perth
20090220;12.135;Perth
20090221;12.229;Perth
20090222;11.367;Perth
20090223;11.121;Perth
20090224;11.516;Perth
20090225;10.724;Perth
20090226;11.707;Perth
20090227;11.433;Perth
20090228;11.219;Perth
20090301;11.326;Perth
20090302;10.997;Perth
20090303;10.885;Perth
20090304;10.812;Perth
20090305;11.14;Perth
20090306;10.962;Perth
20090307;10.695;Perth
20090308;10.943;Perth
20090309;10.98;Perth
20090310;11.335;Perth
20090311;11.237;Perth
20090312;10.418;Perth
20090313;9.484;Perth
20090314;9.524;Perth
20090315;9.399;Perth
20090316;9.976;Perth
20090317;10.019;Perth
20090318;9.384;Perth
20090319;8.911;Perth
20090320;8.333;Perth
20090321;8.5;Perth
20090322;7.787;Perth
20090323;8.087;Perth
20090324;8.703;Perth
20090325;8.137;Perth
20090326;8.458;Perth
20090327;8.071;Perth
20090328;8.77;Perth
20090329;8.766;Perth
20090330;7.412;Perth
20090331;6.885;Perth
20090401;7.279;Perth
20090402;7.325;Perth
20090403;7.628;Perth
20090404;7.617;Perth
20090405;7.353;Perth
20090406;7.438;Perth
20090407;6.791;Perth
20090408;6.36;Perth
20090409;6.208;Perth
20090410;6.459;Perth
20090411;6.508;Perth
20090412;6.501;Perth
20090413;6.202;Perth
20090414;5.765;Perth
20090415;5.817;Perth
20090416;5.632;Perth
20090417;5.599;Perth
20090418;5.256;Perth
20090419;5.659;Perth
20090420;5.786;Perth
20090421;5.662;Perth
20090422;5.099;Perth
20090423;5.6;Perth
20090424;5.744;Perth
20090425;5.691;Perth
20090426;5.889;Perth
20090427;5.748;Perth
20090428;5.513;Perth
20090429;5.127;Perth
20090430;4.669;Perth
20090501;4.752;Perth
20090502;4.947;Perth
20090503;4.943;Perth
20090504;4.817;Perth
20090505;4.587;Perth
20090506;4.641;Perth
20090507;4.789;Perth
20090508;4.691;Perth
20090509;4.544;Perth
20090510;4.36;Perth
20090511;3.875;Perth
20090512;4.013;Perth
20090513;3.922;Perth
20090514;3.733;Perth
20090515;3.763;Perth
20090516;3.991;Perth
20090517;3.914;Perth
20090518;4.045;Perth
20090519;4.107;Perth
20090520;4.201;Perth
20090521;3.76;Perth
20090522;3.06;Perth
20090523;3.007;Perth
20090524;3.257;Perth
20090525;3.196;Perth
20090526;3.166;Perth
20090527;2.94;Perth
20090528;3.007;Perth
20090529;3.008;Perth
20090530;2.982;Perth
20090531;2.886;Perth
20090601;3.026;Perth
20090602;3.041;Perth
20090603;2.858;Perth
20090604;2.835;Perth
20090605;2.904;Perth
20090606;2.927;Perth
20090607;2.965;Perth
20090608;2.811;Perth
20090609;2.831;Perth
20090610;3.009;Perth
20090611;2.553;Perth
20090612;2.541;Perth
20090613;2.651;Perth
20090614;2.845;Perth
20090615;2.698;Perth
20090616;2.494;Perth
20090617;2.725;Perth
20090618;2.792;Perth
20090619;2.455;Perth
20090620;2.51;Perth
20090621;2.471;Perth
20090622;2.533;Perth
20090623;2.488;Perth
20090624;2.624;Perth
20090625;2.994;Perth
20090626;3.282;Perth
20090627;2.799;Perth
20090628;2.521;Perth
20090629;2.53;Perth
20090630;2.541;Perth
20090701;2.65;Perth
20090702;2.859;Perth
20090703;2.922;Perth
20090704;3.041;Perth
20090705;3.283;Perth
20090706;3.256;Perth
20090707;3.296;Perth
20090708;3.132;Perth
20090709;2.917;Perth
20090710;2.749;Perth
20090711;2.637;Perth
20090712;2.533;Perth
20090713;2.897;Perth
20090714;3.246;Perth
20090715;3.415;Perth
20090716;3.199;Perth
20090717;2.895;Perth
20090718;3.327;Perth
20090719;2.774;Perth
20090720;2.459;Perth
20090721;2.836;Perth
20090722;2.89;Perth
20090723;2.802;Perth
20090724;2.629;Perth
20090725;2.615;Perth
20090726;3.05;Perth
20090727;3.278;Perth
20090728;3.085;Perth
20090729;3.328;Perth
20090730;3.042;Perth
20090731;3.102;Perth
20090801;3.469;Perth
20090802;3.583;Perth
20090803;3.846;Perth
20090804;3.995;Perth
20090805;3.996;Perth
20090806;4.082;Perth
20090807;4.232;Perth
20090808;4.197;Perth
20090809;4.269;Perth
20090810;3.941;Perth
20090811;3.816;Perth
20090812;3.483;Perth
20090813;3.868;Perth
20090814;3.772;Perth
20090815;3.237;Perth
20090816;4.167;Perth
20090817;4.592;Perth
20090818;4.727;Perth
20090819;5.095;Perth
20090820;5.155;Perth
20090821;4.245;Perth
20090822;4.519;Perth
20090823;4.03;Perth
20090824;4.346;Perth
20090825;4.866;Perth
20090826;5.09;Perth
20090827;4.881;Perth
20090828;4.866;Perth
20090829;5.734;Perth
20090830;5.742;Perth
20090831;5.436;Perth
20090901;4.998;Perth
20090902;5.034;Perth
20090903;5.392;Perth
20090904;5.777;Perth
20090905;4.406;Perth
20090906;5.474;Perth
20090907;5.641;Perth
20090908;5.613;Perth
20090909;5.419;Perth
20090910;5.608;Perth
20090911;5.833;Perth
20090912;5.48;Perth
20090913;5.8;Perth
20090914;5.83;Perth
20090915;5.723;Perth
20090916;5.958;Perth
20090917;6.204;Perth
20090918;5.97;Perth
20090919;6.332;Perth
20090920;5.297;Perth
20090921;5.903;Perth
20090922;6.859;Perth
20090923;6.721;Perth
20090924;6.468;Perth
20090925;6.708;Perth
20090926;7.362;Perth
20090927;7.652;Perth
20090928;6.923;Perth
20090929;6.277;Perth
20090930;6.707;Perth
20091001;7.469;Perth
20091002;7.277;Perth
20091003;7.108;Perth
20091004;7.114;Perth
20091005;7.106;Perth
20091006;7.584;Perth
20091007;7.41;Perth
20091008;8.167;Perth
20091009;8.343;Perth
20091010;8.301;Perth
20091011;7.899;Perth
20091012;8.357;Perth
20091013;8.808;Perth
20091014;8.881;Perth
20091015;9.237;Perth
20091016;8.203;Perth
20091017;9.56;Perth
20091018;9.763;Perth
20091019;8.493;Perth
20091020;9.117;Perth
20091021;8.367;Perth
20091022;9.07;Perth
20091023;8.509;Perth
20091024;9.062;Perth
20091025;9.421;Perth
20091026;9.653;Perth
20091027;9.892;Perth
20091028;9.442;Perth
20091029;10.43;Perth
20091030;10.846;Perth
20091031;10.16;Perth
20091101;9.852;Perth
20091102;9.709;Perth
20091103;10.434;Perth
20091104;10.117;Perth
20091105;10.113;Perth
20091106;10.112;Perth
20091107;9.811;Perth
20091108;9.617;Perth
20091109;10.105;Perth
20091110;10.172;Perth
20091111;10.502;Perth
20091112;11.049;Perth
20091113;10.341;Perth
20091114;10.741;Perth
20091115;10.951;Perth
20091116;10.922;Perth
20091117;10.214;Perth
20091118;10.583;Perth
20091119;9.937;Perth
20091120;11.422;Perth
20091121;12.239;Perth
20091122;12.283;Perth
20091123;12.637;Perth
20091124;12.09;Perth
20091125;11.66;Perth
20091126;10.645;Perth
20091127;11.655;Perth
20091128;12.186;Perth
20091129;11.981;Perth
20091130;12.286;Perth
20091201;12.537;Perth
20091202;11.036;Perth
20091203;11.936;Perth
20091204;12.258;Perth
20091205;11.796;Perth
20091206;12.748;Perth
20091207;11.647;Perth
20091208;12.565;Perth
20091209;11.093;Perth
20091210;12.708;Perth
20091211;13.011;Perth
20091212;13.101;Perth
20091213;12.608;Perth
20091214;12.78;Perth
20091215;13.388;Perth
20091216;12.385;Perth
20091217;11.806;Perth
20091218;12.802;Perth
20091219;13.32;Perth
20091220;13.783;Perth
20091221;13.802;Perth
20091222;13.578;Perth
20091223;12.571;Perth
20091224;13.754;Perth
20091225;13.084;Perth
20091226;12.598;Perth
20091227;13.211;Perth
20091228;12.337;Perth
20091229;14.335;Perth
20091230;13.386;Perth
20091231;13.652;Perth
20100101;13.844;Perth
20100102;13.165;Perth
20100103;14.231;Perth
20100104;13.849;Perth
20100105;13.467;Perth
20100106;13.302;Perth
20100107;13.658;Perth
20100108;13.273;Perth
20100109;14.081;Perth
20100110;13.236;Perth
20100111;13.262;Perth
20100112;14.331;Perth
20100113;14.23;Perth
20100114;15.023;Perth
20100115;13.29;Perth
20100116;14.439;Perth
20100117;14.252;Perth
20100118;14.587;Perth
20100119;13.837;Perth
20100120;12.071;Perth
20100121;13.285;Perth
20100122;12.448;Perth
20100123;12.656;Perth
20100124;13.402;Perth
20100125;13.05;Perth
20100126;13.539;Perth
20100127;13.92;Perth
20100128;13.949;Perth
20100129;15.031;Perth
20100130;14.133;Perth
20100131;12.821;Perth
20100201;13.133;Perth
20100202;12.914;Perth
20100203;11.921;Perth
20100204;12.62;Perth
20100205;12.066;Perth
20100206;12.56;Perth
20100207;11.875;Perth
20100208;12.026;Perth
20100209;12.873;Perth
20100210;12.496;Perth
20100211;12.49;Perth
20100212;12.187;Perth
20100213;12.136;Perth
20100214;12.395;Perth
20100215;11.954;Perth
20100216;12.358;Perth
20100217;12.209;Perth
20100218;11.573;Perth
20100219;11.615;Perth
20100220;11.755;Perth
20100221;11.112;Perth
20100222;12.206;Perth
20100223;12.354;Perth
20100224;11.418;Perth
