Date,MinTemp,MaxTemp,Rainfall,WindGustSpeed,Humidity,Pressure,UVIEF
2009-01-01,22.2,33.9,0.0,44.0,62.5,1006.25,14.541
2009-01-02,23.2,31.5,0.0,30.0,60.5,1009.8,14.499
2009-01-03,21.8,26.0,4.4,41.0,85.5,1015.2,14.501
2009-01-04,20.1,27.5,4.8,35.0,50.0,1016.05,14.617
2009-01-05,20.4,29.0,0.0,30.0,59.5,1013.1,14.668
2009-01-06,20.8,30.5,0.0,30.0,53.5,1012.3,14.152
2009-01-07,20.9,29.8,0.0,30.0,59.5,1011.6,15.167
2009-01-08,22.5,29.0,1.4,24.0,75.0,1009.5,14.581
2009-01-09,23.1,30.2,0.6,43.0,60.5,1011.1,14.156
2009-01-10,19.0,29.1,0.2,43.0,51.5,1011.4,14.34
2009-01-11,19.6,28.7,0.0,33.0,55.5,1011.6,13.947
2009-01-12,18.6,29.5,0.0,35.0,57.0,1013.9,14.028
2009-01-13,20.2,30.2,0.0,37.0,54.0,1016.3,14.267
2009-01-14,18.8,29.3,0.0,33.0,44.0,1016.25,13.575
2009-01-15,19.0,31.7,0.0,30.0,52.0,1014.75,14.597
2009-01-16,19.8,32.9,0.0,31.0,53.0,1011.9,14.594
2009-01-17,23.2,31.1,0.0,52.0,63.0,1013.3,13.724
2009-01-18,20.3,27.8,0.0,33.0,56.0,1018.75,13.81
2009-01-19,18.7,28.9,0.0,31.0,49.5,1017.95,14.487
2009-01-20,19.3,30.9,0.0,26.0,45.5,1016.6,14.724
2009-01-21,21.9,31.5,0.0,35.0,58.5,1015.0,15.666
2009-01-22,25.0,32.3,0.0,43.0,61.0,1012.55,13.988
2009-01-23,24.2,29.9,26.6,30.0,80.5,1010.95,15.131
2009-01-24,23.6,32.5,4.4,30.0,66.0,1009.7,14.234
2009-01-25,25.2,31.0,0.0,26.0,80.5,1012.95,13.55
2009-01-26,23.1,30.5,29.8,28.0,62.0,1015.65,14.756
2009-01-27,22.1,30.5,1.8,39.0,61.5,1015.9,13.642
2009-01-28,20.8,30.1,0.2,35.0,57.5,1015.7,13.856
2009-01-29,21.1,29.0,0.0,35.0,66.5,1016.4,13.843
2009-01-30,20.3,29.6,3.2,,62.0,1016.1,12.715
2009-01-31,,29.4,,35.0,68.0,1016.0,14.414
2009-02-01,22.1,27.9,0.8,28.0,70.0,1014.15,13.336
2009-02-02,23.0,28.4,1.0,37.0,71.0,1011.6,14.887
2009-02-03,21.9,29.8,6.2,28.0,68.0,1009.55,14.856
2009-02-04,22.7,30.6,0.6,33.0,56.5,1008.15,13.635
2009-02-05,22.0,30.4,0.0,33.0,57.5,1008.15,13.409
2009-02-06,21.9,31.1,0.0,33.0,56.5,1011.0,14.232
2009-02-07,22.1,30.8,0.0,31.0,51.0,1013.45,13.779
2009-02-08,20.2,30.8,0.0,50.0,56.0,1011.0,14.2
2009-02-09,20.5,36.1,0.0,31.0,55.0,1008.25,14.568
2009-02-10,24.4,32.3,0.0,28.0,63.5,1009.15,14.925
2009-02-11,23.3,31.5,1.4,30.0,58.0,1005.25,14.595
2009-02-12,21.7,28.0,0.0,31.0,72.0,1011.9,13.388
2009-02-13,20.6,23.5,23.8,48.0,91.0,1015.8,14.565
2009-02-14,20.1,25.6,36.8,35.0,82.0,1009.45,14.032
2009-02-15,20.8,31.8,2.0,24.0,58.0,1005.9,13.195
2009-02-16,21.1,30.8,0.0,30.0,57.5,1008.25,13.477
2009-02-17,21.6,28.4,0.0,30.0,69.0,1008.8,13.282
2009-02-18,22.3,27.8,17.4,26.0,73.0,1006.5,14.214
2009-02-19,21.7,31.6,2.2,31.0,67.0,1007.75,13.538
2009-02-20,23.6,32.5,3.4,33.0,72.0,1009.65,13.6
2009-02-21,20.9,28.7,35.2,28.0,79.5,1010.5,13.488
2009-02-22,21.6,30.1,1.0,35.0,,,14.587
2009-02-23,20.8,29.7,0.0,31.0,59.0,1015.85,13.277
2009-02-24,19.8,29.8,0.0,28.0,58.0,1016.1,13.0
2009-02-25,20.4,27.9,0.0,22.0,67.0,1015.4,13.278
2009-02-26,20.9,30.3,0.0,43.0,57.0,1014.05,10.586
2009-02-27,19.9,30.1,0.0,44.0,51.0,1013.5,11.433
2009-02-28,19.2,32.2,0.0,26.0,50.5,1011.15,11.24
2009-03-01,20.0,33.8,0.0,22.0,58.0,1009.75,12.513
2009-03-02,23.0,32.2,0.0,28.0,56.0,1013.0,12.577
2009-03-03,24.0,30.5,0.2,24.0,65.0,1015.5,13.109
2009-03-04,23.3,31.1,0.2,30.0,57.5,1012.3,13.28
2009-03-05,20.5,31.5,0.0,39.0,27.0,1008.7,12.488
2009-03-06,20.4,28.8,0.0,26.0,52.5,1011.9,12.098
2009-03-07,20.2,29.8,0.0,28.0,57.5,1013.1,12.267
2009-03-08,20.2,30.2,0.0,35.0,57.0,1013.85,12.623
2009-03-09,20.7,26.4,0.0,35.0,69.0,1014.85,11.716
2009-03-10,21.9,27.4,3.4,50.0,65.5,1014.15,12.251
2009-03-11,20.6,25.8,4.4,35.0,85.0,1016.55,11.878
2009-03-12,19.9,27.7,5.6,35.0,64.0,1018.65,11.486
2009-03-13,20.4,25.3,3.0,30.0,77.5,1016.85,10.942
2009-03-14,19.2,28.0,6.0,24.0,66.5,1014.9,11.041
2009-03-15,19.8,29.6,3.0,24.0,60.5,1012.5,11.451
2009-03-16,20.2,30.5,0.0,46.0,61.0,1009.9,10.115
2009-03-17,18.2,30.3,13.2,24.0,65.0,1011.2,10.779
2009-03-18,21.1,28.8,0.0,33.0,63.5,1015.55,11.52
2009-03-19,21.2,26.9,0.0,30.0,70.0,1015.65,10.677
2009-03-20,19.8,29.1,0.0,33.0,64.5,1013.95,10.399
2009-03-21,20.8,29.3,0.2,35.0,58.0,1013.55,10.028
2009-03-22,19.3,28.6,0.0,37.0,53.5,1014.1,10.793
2009-03-23,18.3,28.6,0.0,30.0,55.0,1016.15,9.865
