Date,MinTemp,MaxTemp,Rainfall,WindGustSpeed,Humidity,Pressure,UVIEF
2009-01-01,10.6,17.5,2.8,76.0,40.0,994.2,9.543
2009-01-02,7.1,16.1,0.2,50.0,53.0,1011.25,9.939
2009-01-03,8.9,20.1,0.4,41.0,54.0,1015.95,11.209
2009-01-04,8.5,22.9,0.0,37.0,43.5,1012.9,10.69
2009-01-05,12.2,24.9,0.0,80.0,41.5,1002.3,11.48
2009-01-06,15.3,26.0,0.0,65.0,35.5,1000.5,11.169
2009-01-07,11.6,22.7,0.0,52.0,52.0,1004.75,10.88
2009-01-08,8.9,17.8,0.0,70.0,44.5,1012.1,9.578
2009-01-09,8.6,17.9,0.8,41.0,38.5,1020.15,10.204
2009-01-10,10.6,24.2,0.0,43.0,47.5,1013.0,9.97
2009-01-11,11.8,25.2,0.0,50.0,50.0,1007.45,10.146
2009-01-12,12.9,20.1,1.0,35.0,53.5,1016.05,11.149
2009-01-13,12.8,33.5,0.0,50.0,34.5,1008.75,12.497
2009-01-14,17.8,25.9,0.0,52.0,57.0,1005.6,11.833
2009-01-15,13.2,23.5,0.0,65.0,48.5,1005.25,10.665
2009-01-16,9.4,15.8,2.8,67.0,56.5,1007.05,8.995
2009-01-17,10.0,20.1,0.6,56.0,49.5,1020.9,12.112
2009-01-18,9.5,23.3,0.0,41.0,44.5,1017.45,10.783
2009-01-19,13.4,23.2,0.2,56.0,58.5,1011.25,11.375
2009-01-20,12.2,28.4,0.0,54.0,65.5,1003.45,10.756
2009-01-21,13.9,24.5,0.0,43.0,47.0,1005.8,10.138
2009-01-22,14.8,28.4,0.0,124.0,41.5,986.25,10.177
2009-01-23,11.1,25.7,0.6,57.0,32.0,1001.05,10.398
2009-01-24,14.3,21.2,0.2,59.0,34.0,999.35,10.235
2009-01-25,11.9,27.4,0.0,52.0,41.5,1012.95,11.329
2009-01-26,14.5,22.3,0.0,48.0,52.0,1020.9,11.035
2009-01-27,14.4,28.9,0.0,44.0,50.0,1016.7,11.354
2009-01-28,14.6,23.7,0.0,31.0,64.0,1013.15,12.609
2009-01-29,17.0,28.2,0.0,31.0,54.5,1010.15,13.007
2009-01-30,21.8,31.1,0.4,48.0,63.0,1009.9,12.421
2009-01-31,18.0,23.1,0.0,39.0,79.0,1016.9,11.616
2009-02-01,12.2,20.5,0.0,33.0,50.5,1024.85,10.47
2009-02-02,14.4,20.6,0.6,50.0,74.5,1015.2,11.105
2009-02-03,11.5,20.1,0.4,30.0,63.5,1018.1,11.178
2009-02-04,13.8,24.4,0.0,31.0,55.5,1011.95,11.318
2009-02-05,16.3,30.1,0.0,54.0,40.5,1001.9,10.595
2009-02-06,14.0,22.2,0.0,35.0,60.0,1009.25,9.795
2009-02-07,14.9,26.0,0.6,43.0,71.0,1001.85,11.452
2009-02-08,15.2,23.3,2.0,70.0,32.5,1006.25,10.364
2009-02-09,9.2,18.2,0.0,46.0,42.5,1015.35,9.136
2009-02-10,8.6,17.3,0.0,52.0,64.5,1017.3,8.788
2009-02-11,7.5,16.3,0.0,48.0,61.5,1019.45,8.126
2009-02-12,8.6,16.3,2.0,44.0,53.5,1027.15,8.694
2009-02-13,7.6,19.8,0.0,30.0,50.5,1031.55,10.107
2009-02-14,9.8,20.6,0.0,37.0,56.0,1026.15,9.785
2009-02-15,13.0,18.8,0.0,41.0,63.0,1024.2,9.38
2009-02-16,11.8,19.5,0.0,50.0,57.5,1025.7,10.443
2009-02-17,11.1,22.5,0.0,30.0,53.0,1021.85,9.587
2009-02-18,12.2,23.2,0.0,33.0,63.0,1017.05,9.078
2009-02-19,14.6,22.6,0.0,30.0,58.5,1010.1,9.004
2009-02-20,14.6,19.8,0.0,35.0,71.5,1010.75,8.733
2009-02-21,11.3,23.3,5.6,54.0,68.0,1016.15,8.605
2009-02-22,9.9,18.9,0.0,37.0,51.0,1019.45,8.498
2009-02-23,13.2,27.9,0.0,100.0,46.5,1009.15,8.113
2009-02-24,10.4,16.8,33.0,74.0,85.5,1004.45,7.205
2009-02-25,13.1,18.0,14.2,52.0,80.5,1018.5,7.749
2009-02-26,13.2,19.7,0.8,26.0,72.5,1023.0,8.739
2009-02-27,12.0,26.8,0.0,44.0,50.0,1012.7,8.978
2009-02-28,13.9,20.1,0.0,35.0,76.5,1010.55,8.023
2009-03-01,11.2,20.3,0.2,37.0,56.0,1012.2,8.117
2009-03-02,12.7,19.2,0.0,37.0,73.0,1018.95,8.188
2009-03-03,13.6,25.0,0.0,80.0,58.5,1003.3,9.248
2009-03-04,12.5,18.4,2.0,89.0,47.5,993.75,6.198
