Date,MinTemp,MaxTemp,Rainfall,WindGustSpeed,Humidity,Pressure,UVIEF
2009-01-01,14.7,20.4,0.0,69.0,53.5,1005.95,11.408
2009-01-02,10.0,18.6,0.2,56.0,47.5,1018.9,11.965
2009-01-03,9.2,20.4,0.6,31.0,49.5,1019.6,12.862
2009-01-04,11.6,27.6,0.0,35.0,52.0,1014.75,11.911
2009-01-05,13.6,26.1,0.0,33.0,45.0,1011.2,13.455
2009-01-06,15.8,30.2,0.0,50.0,42.5,1009.2,13.658
2009-01-07,17.6,20.9,0.0,46.0,77.5,1010.25,12.463
2009-01-08,12.6,19.8,0.0,56.0,49.5,1018.45,11.006
2009-01-09,12.6,21.8,0.0,43.0,44.0,1019.75,11.615
2009-01-10,13.3,23.4,0.0,43.0,63.5,1012.2,11.796
2009-01-11,14.3,23.4,0.0,41.0,73.5,1011.15,11.071
2009-01-12,13.7,25.0,0.0,26.0,64.0,1018.2,12.11
2009-01-13,13.9,37.8,0.0,52.0,36.5,1011.9,13.1
2009-01-14,20.4,32.6,0.0,57.0,39.0,1008.75,13.765
2009-01-15,15.7,24.6,0.0,44.0,47.0,1015.35,12.591
2009-01-16,15.1,21.5,0.0,61.0,44.0,1018.15,12.543
2009-01-17,14.5,20.1,0.0,41.0,46.0,1023.05,13.152
2009-01-18,12.1,25.1,0.0,31.0,55.5,1020.65,12.936
2009-01-19,13.7,35.8,0.0,54.0,36.0,1011.5,13.146
2009-01-20,19.8,40.5,0.0,100.0,34.5,1005.95,12.334
2009-01-21,17.2,28.8,0.0,37.0,58.0,1008.7,12.072
2009-01-22,18.2,35.6,0.0,94.0,34.5,995.95,12.296
2009-01-23,14.6,31.8,0.0,59.0,34.5,1005.5,12.352
2009-01-24,16.3,23.4,0.0,54.0,50.0,1009.85,11.653
2009-01-25,13.0,27.1,0.0,39.0,39.5,1017.6,12.687
2009-01-26,14.4,25.5,0.0,46.0,58.5,1021.55,11.699
2009-01-27,16.6,36.4,0.0,37.0,59.0,1016.0,12.313
2009-01-28,18.8,43.4,0.0,50.0,20.0,1010.55,13.729
2009-01-29,25.7,44.3,0.0,59.0,13.5,1010.15,13.919
2009-01-30,25.7,45.1,0.0,50.0,22.0,1010.2,13.163
2009-01-31,22.5,30.5,0.0,46.0,56.5,1013.75,12.94
2009-02-01,20.3,33.8,0.0,39.0,54.5,1014.25,12.3
2009-02-02,20.8,28.5,0.0,37.0,70.0,1011.25,12.237
2009-02-03,20.5,30.2,0.0,52.0,57.5,1011.7,12.439
2009-02-04,16.8,30.2,0.0,35.0,61.0,1007.85,12.319
2009-02-05,19.8,29.2,0.0,39.0,59.0,1006.85,12.134
2009-02-06,17.9,33.1,0.0,44.0,62.5,1009.05,12.117
2009-02-07,18.7,46.4,0.0,83.0,14.5,1000.7,12.966
2009-02-08,18.6,22.5,0.8,44.0,70.5,1013.35,13.081
2009-02-09,16.1,21.4,0.6,56.0,40.5,1016.7,11.287
2009-02-10,14.1,21.2,0.0,54.0,37.5,1017.2,9.96
2009-02-11,14.3,20.2,0.0,54.0,47.0,1019.45,10.535
2009-02-12,14.4,23.7,0.0,57.0,47.5,1021.25,9.249
2009-02-13,12.8,28.0,0.0,43.0,42.5,1024.45,10.181
2009-02-14,14.0,28.4,0.0,41.0,43.0,1021.45,10.628
2009-02-15,14.8,29.6,0.0,54.0,48.0,1017.5,10.504
2009-02-16,16.0,30.1,0.0,37.0,51.5,1017.95,10.271
2009-02-17,15.8,31.7,0.0,37.0,38.0,1015.2,10.596
2009-02-18,17.0,27.8,0.0,35.0,58.0,1011.25,10.195
2009-02-19,16.8,30.5,0.0,37.0,58.0,1008.15,10.24
2009-02-20,18.0,24.6,0.0,46.0,59.0,1013.0,10.209
2009-02-21,17.4,23.8,0.2,44.0,59.0,1017.55,9.912
2009-02-22,16.9,25.5,0.0,35.0,64.0,1016.15,10.336
2009-02-23,16.2,35.0,0.0,56.0,39.5,1008.95,9.61
2009-02-24,14.3,21.3,0.0,50.0,42.5,1019.05,9.42
2009-02-25,14.1,21.6,1.2,37.0,75.0,1020.2,9.795
2009-02-26,14.2,31.2,0.2,35.0,61.5,1018.05,10.277
2009-02-27,14.3,34.0,0.0,72.0,33.0,1012.35,10.049
2009-02-28,16.1,23.2,0.0,48.0,54.5,1012.7,9.608
2009-03-01,14.5,19.8,1.6,41.0,73.0,1014.95,9.774
