YYYYMMDD;UVIEF;City
20090101;9.543;Hobart
20090102;9.939;Hobart
20090103;11.209;Hobart
20090104;10.69;Hobart
20090105;11.48;Hobart
20090106;11.169;Hobart
20090107;10.88;Hobart
20090108;9.578;Hobart
20090109;10.204;Hobart
20090110;9.97;Hobart
20090111;10.146;Hobart
20090112;11.149;Hobart
20090113;12.497;Hobart
20090114;11.833;Hobart
20090115;10.665;Hobart
20090116;8.995;Hobart
20090117;12.112;Hobart
20090118;10.783;Hobart
20090119;11.375;Hobart
20090120;10.756;Hobart
20090121;10.138;Hobart
20090122;10.177;Hobart
20090123;10.398;Hobart
20090124;10.235;Hobart
20090125;11.329;Hobart
20090126;11.035;Hobart
20090127;11.354;Hobart
20090128;12.609;Hobart
20090129;13.007;Hobart
20090130;12.421;Hobart
20090131;11.616;Hobart
20090201;10.47;Hobart
20090202;11.105;Hobart
20090203;11.178;Hobart
20090204;11.318;Hobart
20090205;10.595;Hobart
20090206;9.795;Hobart
20090207;11.452;Hobart
20090208;10.364;Hobart
20090209;9.136;Hobart
20090210;8.788;Hobart
20090211;8.126;Hobart
20090212;8.694;Hobart
20090213;10.107;Hobart
20090214;9.785;Hobart
20090215;9.38;Hobart
20090216;10.443;Hobart
20090217;9.587;Hobart
20090218;9.078;Hobart
20090219;9.004;Hobart
20090220;8.733;Hobart
20090221;8.605;Hobart
20090222;8.498;Hobart
20090223;8.113;Hobart
20090224;7.205;Hobart
20090225;7.749;Hobart
20090226;8.739;Hobart
20090227;8.978;Hobart
20090228;8.023;Hobart
20090301;8.117;Hobart
20090302;8.188;Hobart
20090303;9.248;Hobart
20090304;6.198;Hobart
20090305;7.315;Hobart
20090306;7.762;Hobart
20090307;7.337;Hobart
20090308;7.405;Hobart
20090309;6.978;Hobart
20090310;6.979;Hobart
20090311;7.19;Hobart
20090312;6.732;Hobart
20090313;6.715;Hobart
20090314;6.693;Hobart
20090315;5.295;Hobart
20090316;5.387;Hobart
20090317;6.389;Hobart
20090318;6.466;Hobart
20090319;6.016;Hobart
20090320;5.782;Hobart
20090321;5.822;Hobart
20090322;5.508;Hobart
20090323;5.707;Hobart
20090324;5.596;Hobart
20090325;5.62;Hobart
20090326;4.975;Hobart
20090327;5.041;Hobart
20090328;5.438;Hobart
20090329;5.018;Hobart
20090330;5.141;Hobart
20090331;4.943;Hobart
20090401;4.986;Hobart
20090402;5.015;Hobart
20090403;4.656;Hobart
20090404;4.267;Hobart
20090405;3.769;Hobart
20090406;3.421;Hobart
20090407;3.634;Hobart
20090408;3.825;Hobart
20090409;3.945;Hobart
20090410;3.635;Hobart
20090411;3.756;Hobart
20090412;3.696;Hobart
20090413;3.594;Hobart
20090414;3.472;Hobart
20090415;2.707;Hobart
20090416;2.906;Hobart
20090417;2.89;Hobart
20090418;2.808;Hobart
20090419;3.145;Hobart
20090420;3.168;Hobart
20090421;3.145;Hobart
20090422;3.1;Hobart
20090423;2.903;Hobart
20090424;2.68;Hobart
20090425;2.558;Hobart
20090426;2.253;Hobart
20090427;2.485;Hobart
20090428;2.315;Hobart
20090429;2.125;Hobart
20090430;2.084;Hobart
20090501;2.023;Hobart
20090502;1.98;Hobart
20090503;2.107;Hobart
20090504;2.019;Hobart
20090505;1.933;Hobart
20090506;1.813;Hobart
20090507;1.792;Hobart
20090508;1.914;Hobart
20090509;1.752;Hobart
20090510;1.811;Hobart
20090511;1.804;Hobart
20090512;1.677;Hobart
20090513;1.542;Hobart
20090514;1.501;Hobart
20090515;1.491;Hobart
20090516;1.525;Hobart
20090517;1.612;Hobart
20090518;1.663;Hobart
20090519;1.741;Hobart
20090520;1.727;Hobart
20090521;1.642;Hobart
20090522;1.523;Hobart
20090523;1.552;Hobart
20090524;1.352;Hobart
20090525;1.202;Hobart
20090526;1.217;Hobart
20090527;1.172;Hobart
20090528;1.203;Hobart
20090529;1.221;Hobart
20090530;1.221;Hobart
20090531;1.191;Hobart
20090601;1.102;Hobart
20090602;1.108;Hobart
20090603;1.185;Hobart
20090604;1.157;Hobart
20090605;1.134;Hobart
20090606;1.124;Hobart
20090607;1.07;Hobart
20090608;1.039;Hobart
20090609;0.922;Hobart
20090610;0.982;Hobart
20090611;1.035;Hobart
20090612;1.022;Hobart
20090613;1.108;Hobart
20090614;1.024;Hobart
20090615;0.939;Hobart
20090616;1.007;Hobart
20090617;1.029;Hobart
20090618;0.949;Hobart
20090619;1.035;Hobart
20090620;1.029;Hobart
20090621;0.931;Hobart
20090622;0.945;Hobart
20090623;1.066;Hobart
20090624;1.079;Hobart
20090625;1.022;Hobart
20090626;1.05;Hobart
20090627;1.034;Hobart
20090628;0.992;Hobart
20090629;1.072;Hobart
20090630;1.008;Hobart
20090701;0.951;Hobart
20090702;0.879;Hobart
20090703;1.001;Hobart
20090704;1.134;Hobart
20090705;1.111;Hobart
20090706;1.001;Hobart
20090707;1.1;Hobart
20090708;1.158;Hobart
20090709;1.132;Hobart
20090710;1.129;Hobart
20090711;1.177;Hobart
20090712;1.095;Hobart
20090713;1.035;Hobart
20090714;1.069;Hobart
20090715;1.124;Hobart
20090716;1.165;Hobart
20090717;1.212;Hobart
20090718;1.098;Hobart
20090719;1.374;Hobart
20090720;1.275;Hobart
20090721;1.208;Hobart
20090722;1.299;Hobart
20090723;1.405;Hobart
20090724;1.28;Hobart
20090725;1.388;Hobart
20090726;1.15;Hobart
20090727;1.112;Hobart
20090728;1.221;Hobart
20090729;1.371;Hobart
20090730;1.479;Hobart
20090731;1.394;Hobart
20090801;1.515;Hobart
20090802;1.555;Hobart
20090803;1.359;Hobart
20090804;1.394;Hobart
20090805;1.518;Hobart
20090806;1.576;Hobart
20090807;1.404;Hobart
20090808;1.381;Hobart
20090809;1.597;Hobart
20090810;1.601;Hobart
20090811;1.853;Hobart
20090812;1.745;Hobart
20090813;1.874;Hobart
20090814;1.917;Hobart
20090815;2.042;Hobart
20090816;1.957;Hobart
20090817;1.674;Hobart
20090818;2.219;Hobart
20090819;2.349;Hobart
20090820;2.128;Hobart
20090821;1.896;Hobart
20090822;1.947;Hobart
20090823;2.195;Hobart
20090824;2.254;Hobart
20090825;2.146;Hobart
20090826;2.1;Hobart
20090827;2.269;Hobart
20090828;2.348;Hobart
20090829;2.271;Hobart
20090830;2.505;Hobart
20090831;2.45;Hobart
20090901;2.675;Hobart
20090902;2.856;Hobart
20090903;2.604;Hobart
20090904;2.49;Hobart
20090905;2.555;Hobart
20090906;2.736;Hobart
20090907;3.372;Hobart
20090908;3.553;Hobart
20090909;3.038;Hobart
20090910;2.968;Hobart
20090911;3.114;Hobart
20090912;3.173;Hobart
20090913;3.024;Hobart
20090914;3.042;Hobart
20090915;3.095;Hobart
20090916;3.463;Hobart
20090917;3.385;Hobart
20090918;3.567;Hobart
20090919;3.672;Hobart
20090920;3.326;Hobart
20090921;3.437;Hobart
20090922;3.582;Hobart
20090923;3.659;Hobart
20090924;3.758;Hobart
20090925;3.689;Hobart
20090926;3.568;Hobart
20090927;4.051;Hobart
20090928;4.941;Hobart
20090929;4.732;Hobart
20090930;3.952;Hobart
20091001;4.663;Hobart
20091002;4.763;Hobart
20091003;4.73;Hobart
20091004;4.846;Hobart
20091005;4.282;Hobart
20091006;4.076;Hobart
20091007;4.627;Hobart
20091008;4.53;Hobart
20091009;4.784;Hobart
20091010;5.252;Hobart
20091011;5.539;Hobart
20091012;5.058;Hobart
20091013;4.592;Hobart
20091014;5.136;Hobart
20091015;4.965;Hobart
20091016;5.259;Hobart
20091017;5.755;Hobart
20091018;5.994;Hobart
20091019;6.397;Hobart
20091020;6.408;Hobart
20091021;5.734;Hobart
20091022;6.048;Hobart
20091023;5.951;Hobart
20091024;6.683;Hobart
20091025;6.257;Hobart
20091026;7.105;Hobart
20091027;7.083;Hobart
20091028;6.547;Hobart
20091029;7.283;Hobart
20091030;7.389;Hobart
20091031;7.84;Hobart
20091101;7.579;Hobart
20091102;7.508;Hobart
20091103;7.132;Hobart
20091104;7.252;Hobart
20091105;7.028;Hobart
20091106;7.809;Hobart
20091107;8;Hobart
20091108;8.241;Hobart
20091109;8.409;Hobart
20091110;8.042;Hobart
20091111;8.219;Hobart
20091112;7.743;Hobart
20091113;8.882;Hobart
20091114;8.312;Hobart
20091115;8.7;Hobart
20091116;8.255;Hobart
20091117;10.027;Hobart
20091118;9.764;Hobart
20091119;8.8;Hobart
