YYYYMMDD;UVIEF;City
20090101;13.16;Sydney
20090102;12.218;Sydney
20090103;12.166;Sydney
20090104;13.276;Sydney
20090105;12.651;Sydney
20090106;13.651;Sydney
20090107;12.972;Sydney
20090108;13.329;Sydney
20090109;13.038;Sydney
20090110;12.419;Sydney
20090111;11.665;Sydney
20090112;12.238;Sydney
20090113;14.277;Sydney
20090114;13.655;Sydney
20090115;13.889;Sydney
20090116;12.367;Sydney
20090117;12.808;Sydney
20090118;12.995;Sydney
20090119;13.288;Sydney
20090120;13.991;Sydney
20090121;13.43;Sydney
20090122;12.725;Sydney
20090123;13.496;Sydney
20090124;12.108;Sydney
20090125;13.692;Sydney
20090126;13.429;Sydney
20090127;13.023;Sydney
20090128;13.499;Sydney
20090129;13.646;Sydney
20090130;13.865;Sydney
20090131;13.767;Sydney
20090201;13.26;Sydney
20090202;12.998;Sydney
20090203;13.749;Sydney
20090204;13.38;Sydney
20090205;13.885;Sydney
20090206;13.127;Sydney
20090207;13.611;Sydney
20090208;13.603;Sydney
20090209;12.662;Sydney
20090210;13.338;Sydney
20090211;10.797;Sydney
20090212;11.663;Sydney
20090213;10.828;Sydney
20090214;11.473;Sydney
20090215;11.22;Sydney
20090216;10.569;Sydney
20090217;11.071;Sydney
20090218;11.327;Sydney
20090219;11.625;Sydney
20090220;10.895;Sydney
20090221;11.02;Sydney
20090222;10.832;Sydney
20090223;11.262;Sydney
20090224;10.675;Sydney
20090225;11.307;Sydney
20090226;10.236;Sydney
20090227;10.543;Sydney
20090228;10.263;Sydney
20090301;10.327;Sydney
20090302;10.536;Sydney
20090303;11.324;Sydney
20090304;10.777;Sydney
20090305;9.284;Sydney
20090306;9.69;Sydney
20090307;9.848;Sydney
20090308;10.179;Sydney
20090309;10.214;Sydney
20090310;9.258;Sydney
20090311;9.322;Sydney
20090312;9.309;Sydney
20090313;8.843;Sydney
20090314;8.594;Sydney
20090315;8.007;Sydney
20090316;7.636;Sydney
20090317;7.893;Sydney
20090318;8.377;Sydney
20090319;8.594;Sydney
20090320;8.177;Sydney
20090321;8.063;Sydney
20090322;7.983;Sydney
20090323;7.385;Sydney
20090324;7.577;Sydney
20090325;7.562;Sydney
20090326;7.874;Sydney
20090327;6.949;Sydney
20090328;7.689;Sydney
20090329;7.215;Sydney
20090330;6.811;Sydney
20090331;7.26;Sydney
20090401;7.47;Sydney
20090402;7.8;Sydney
20090403;7.549;Sydney
20090404;6.647;Sydney
20090405;6.726;Sydney
20090406;6.021;Sydney
20090407;5.89;Sydney
20090408;5.681;Sydney
20090409;5.882;Sydney
20090410;5.864;Sydney
20090411;6.148;Sydney
20090412;6.358;Sydney
20090413;6.219;Sydney
20090414;5.705;Sydney
20090415;5.78;Sydney
20090416;5.588;Sydney
20090417;4.851;Sydney
20090418;5.281;Sydney
20090419;4.856;Sydney
20090420;4.811;Sydney
20090421;4.993;Sydney
20090422;4.64;Sydney
20090423;4.788;Sydney
20090424;5.062;Sydney
20090425;4.734;Sydney
20090426;4.109;Sydney
20090427;4.119;Sydney
20090428;4.495;Sydney
20090429;4.338;Sydney
20090430;4.112;Sydney
20090501;4.147;Sydney
20090502;3.913;Sydney
20090503;3.9;Sydney
20090504;3.922;Sydney
20090505;3.821;Sydney
20090506;3.704;Sydney
20090507;3.392;Sydney
20090508;3.424;Sydney
20090509;3.483;Sydney
20090510;3.33;Sydney
20090511;3.544;Sydney
20090512;3.483;Sydney
20090513;3.164;Sydney
20090514;3.049;Sydney
20090515;3.034;Sydney
20090516;3.022;Sydney
20090517;3.117;Sydney
20090518;3.019;Sydney
20090519;3.004;Sydney
20090520;3.009;Sydney
20090521;3.084;Sydney
20090522;2.995;Sydney
20090523;3.047;Sydney
20090524;3.018;Sydney
20090525;2.87;Sydney
20090526;2.747;Sydney
20090527;2.611;Sydney
20090528;2.591;Sydney
20090529;2.596;Sydney
20090530;2.442;Sydney
20090531;2.448;Sydney
20090601;2.404;Sydney
20090602;2.351;Sydney
20090603;2.329;Sydney
20090604;2.384;Sydney
20090605;2.331;Sydney
20090606;2.418;Sydney
20090607;2.385;Sydney
20090608;2.069;Sydney
20090609;1.989;Sydney
20090610;2.002;Sydney
20090611;1.918;Sydney
20090612;2.041;Sydney
20090613;2.219;Sydney
20090614;2.303;Sydney
20090615;2.093;Sydney
20090616;2.148;Sydney
20090617;2.164;Sydney
20090618;2.167;Sydney
20090619;2.166;Sydney
20090620;2.223;Sydney
20090621;2.128;Sydney
20090622;2.064;Sydney
20090623;2.133;Sydney
20090624;2.043;Sydney
20090625;2.294;Sydney
20090626;2.17;Sydney
20090627;2.286;Sydney
20090628;2.225;Sydney
20090629;2.359;Sydney
20090630;2.466;Sydney
20090701;2.215;Sydney
20090702;2.173;Sydney
20090703;1.947;Sydney
20090704;2.21;Sydney
20090705;2.335;Sydney
20090706;2.439;Sydney
20090707;2.315;Sydney
20090708;2.258;Sydney
20090709;2.389;Sydney
20090710;2.366;Sydney
20090711;2.472;Sydney
20090712;2.679;Sydney
20090713;2.601;Sydney
20090714;2.222;Sydney
20090715;2.121;Sydney
20090716;2.195;Sydney
20090717;2.415;Sydney
20090718;2.325;Sydney
20090719;2.526;Sydney
20090720;2.731;Sydney
20090721;2.715;Sydney
20090722;2.559;Sydney
20090723;2.522;Sydney
20090724;2.681;Sydney
20090725;2.708;Sydney
20090726;2.476;Sydney
20090727;2.305;Sydney
20090728;2.399;Sydney
20090729;2.316;Sydney
20090730;2.488;Sydney
20090731;2.498;Sydney
20090801;2.844;Sydney
20090802;2.832;Sydney
20090803;2.825;Sydney
20090804;2.65;Sydney
20090805;2.652;Sydney
20090806;2.929;Sydney
20090807;2.979;Sydney
20090808;2.735;Sydney
20090809;2.781;Sydney
20090810;3.119;Sydney
20090811;2.995;Sydney
20090812;3.129;Sydney
20090813;3.482;Sydney
20090814;3.637;Sydney
20090815;3.774;Sydney
20090816;3.978;Sydney
20090817;3.524;Sydney
20090818;3.707;Sydney
20090819;4.056;Sydney
20090820;4.141;Sydney
20090821;4.153;Sydney
20090822;4.139;Sydney
20090823;4.374;Sydney
20090824;4.716;Sydney
20090825;3.829;Sydney
20090826;3.819;Sydney
20090827;4.82;Sydney
20090828;4.431;Sydney
20090829;4.908;Sydney
20090830;4.619;Sydney
20090831;4.876;Sydney
20090901;4.719;Sydney
20090902;4.904;Sydney
20090903;4.884;Sydney
20090904;4.885;Sydney
20090905;4.691;Sydney
20090906;4.889;Sydney
20090907;4.618;Sydney
20090908;4.79;Sydney
20090909;4.473;Sydney
20090910;4.43;Sydney
20090911;4.846;Sydney
20090912;5.258;Sydney
20090913;5.478;Sydney
20090914;5.264;Sydney
20090915;5.257;Sydney
20090916;5.699;Sydney
20090917;6.008;Sydney
20090918;5.808;Sydney
20090919;5.581;Sydney
20090920;5.606;Sydney
20090921;6.152;Sydney
20090922;6.298;Sydney
20090923;5.591;Sydney
20090924;6.46;Sydney
20090925;6.662;Sydney
20090926;6.038;Sydney
20090927;5.852;Sydney
20090928;5.938;Sydney
20090929;6.483;Sydney
20090930;6.831;Sydney
20091001;6.891;Sydney
20091002;6.897;Sydney
20091003;6.386;Sydney
20091004;6.405;Sydney
20091005;6.712;Sydney
20091006;6.22;Sydney
20091007;5.847;Sydney
20091008;6.051;Sydney
20091009;6.503;Sydney
20091010;6.574;Sydney
20091011;6.95;Sydney
20091012;7.249;Sydney
20091013;7.496;Sydney
20091014;7.16;Sydney
20091015;7.19;Sydney
20091016;7.546;Sydney
20091017;7.785;Sydney
20091018;7.733;Sydney
20091019;8.684;Sydney
20091020;9.094;Sydney
20091021;8.582;Sydney
20091022;8.552;Sydney
20091023;8.256;Sydney
20091024;8.179;Sydney
20091025;8.76;Sydney
20091026;8.304;Sydney
20091027;8.657;Sydney
20091028;9.434;Sydney
20091029;8.814;Sydney
20091030;9.23;Sydney
20091031;9.306;Sydney
20091101;9.847;Sydney
20091102;9.748;Sydney
20091103;8.866;Sydney
20091104;9.187;Sydney
20091105;9.179;Sydney
20091106;9.033;Sydney
20091107;9.025;Sydney
20091108;9.106;Sydney
20091109;9.314;Sydney
20091110;9.846;Sydney
20091111;9.456;Sydney
20091112;9.567;Sydney
20091113;9.363;Sydney
20091114;10.031;Sydney
20091115;10.112;Sydney
20091116;10.133;Sydney
20091117;10.368;Sydney
20091118;11.258;Sydney
20091119;12.383;Sydney
20091120;12.747;Sydney
20091121;12.934;Sydney
20091122;11.602;Sydney
20091123;11.843;Sydney
20091124;12.53;Sydney
20091125;12.673;Sydney
20091126;12.49;Sydney
20091127;12.421;Sydney
20091128;12.303;Sydney
20091129;10.876;Sydney
20091130;10.145;Sydney
20091201;10.495;Sydney
20091202;11.139;Sydney
20091203;12.148;Sydney
20091204;12.011;Sydney
20091205;11.546;Sydney
20091206;12.011;Sydney
20091207;11.668;Sydney
20091208;13.118;Sydney
20091209;12.543;Sydney
20091210;12.837;Sydney
20091211;11.919;Sydney
20091212;12.927;Sydney
20091213;12.952;Sydney
20091214;12.165;Sydney
20091215;13.692;Sydney
20091216;13.901;Sydney
20091217;13.457;Sydney
20091218;12.286;Sydney
20091219;12.667;Sydney
20091220;12.627;Sydney
20091221;12.477;Sydney
20091222;11.804;Sydney
20091223;12.1;Sydney
20091224;14.211;Sydney
20091225;13.521;Sydney
20091226;13.902;Sydney
20091227;13.788;Sydney
20091228;14.05;Sydney
20091229;12.898;Sydney
20091230;13.866;Sydney
20091231;13.928;Sydney
20100101;13.44;Sydney
20100102;13.629;Sydney
20100103;12.351;Sydney
20100104;12.496;Sydney
20100105;14.032;Sydney
20100106;13.381;Sydney
20100107;12.795;Sydney
