Date,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustSpeed,Humidity,Pressure,UVIEF
2009-01-01,14.7,20.4,0.0,5.6,8.8,69.0,53.5,1005.95,11.408
2009-01-02,10.0,18.6,0.2,7.2,12.9,56.0,47.5,1018.9,11.965
2009-01-03,9.2,20.4,0.6,6.2,10.5,31.0,49.5,1019.6,12.862
2009-01-04,11.6,27.6,0.0,6.4,12.5,35.0,52.0,1014.75,11.911
2009-01-05,13.6,26.1,0.0,7.4,12.3,33.0,45.0,1011.2,13.455
2009-01-06,15.8,30.2,0.0,7.2,13.7,50.0,42.5,1009.2,13.658
2009-01-07,17.6,20.9,0.0,8.8,4.4,46.0,77.5,1010.25,12.463
2009-01-08,12.6,19.8,0.0,5.2,11.5,56.0,49.5,1018.45,11.006
2009-01-09,12.6,21.8,0.0,5.6,12.6,43.0,44.0,1019.75,11.615
2009-01-10,13.3,23.4,0.0,7.2,10.2,43.0,63.5,1012.2,11.796
2009-01-11,14.3,23.4,0.0,6.6,10.2,41.0,73.5,1011.15,11.071
2009-01-12,13.7,25.0,0.0,5.2,7.8,26.0,64.0,1018.2,12.11
2009-01-13,13.9,37.8,0.0,6.8,13.5,52.0,36.5,1011.9,13.1
2009-01-14,20.4,32.6,0.0,18.6,12.3,57.0,39.0,1008.75,13.765
2009-01-15,15.7,24.6,0.0,9.2,10.1,44.0,47.0,1015.35,12.591
2009-01-16,15.1,21.5,0.0,8.6,9.9,61.0,44.0,1018.15,12.543
2009-01-17,14.5,20.1,0.0,8.8,12.1,41.0,46.0,1023.05,13.152
2009-01-18,12.1,25.1,0.0,6.6,13.0,31.0,55.5,1020.65,12.936
2009-01-19,13.7,35.8,0.0,7.8,13.4,54.0,36.0,1011.5,13.146
2009-01-20,19.8,40.5,0.0,15.8,12.0,100.0,34.5,1005.95,12.334
2009-01-21,17.2,28.8,0.0,14.4,10.9,37.0,58.0,1008.7,12.072
2009-01-22,18.2,35.6,0.0,8.0,7.6,94.0,34.5,995.95,12.296
2009-01-23,14.6,31.8,0.0,15.6,12.3,59.0,34.5,1005.5,12.352
2009-01-24,16.3,23.4,0.0,12.8,11.4,54.0,50.0,1009.85,11.653
2009-01-25,13.0,27.1,0.0,8.0,13.3,39.0,39.5,1017.6,12.687
2009-01-26,14.4,25.5,0.0,7.2,12.7,46.0,58.5,1021.55,11.699
2009-01-27,16.6,36.4,0.0,7.6,12.3,37.0,59.0,1016.0,12.313
2009-01-28,18.8,43.4,0.0,12.0,13.4,50.0,20.0,1010.55,13.729
2009-01-29,25.7,44.3,0.0,20.4,10.3,59.0,13.5,1010.15,13.919
2009-01-30,25.7,45.1,0.0,18.6,12.8,50.0,22.0,1010.2,13.163
2009-01-31,22.5,30.5,0.0,14.2,10.8,46.0,56.5,1013.75,12.94
2009-02-01,20.3,33.8,0.0,7.6,7.1,39.0,54.5,1014.25,12.3
2009-02-02,20.8,28.5,0.0,6.6,2.7,37.0,70.0,1011.25,12.237
2009-02-03,20.5,30.2,0.0,4.2,8.4,52.0,57.5,1011.7,12.439
2009-02-04,16.8,30.2,0.0,7.2,11.0,35.0,61.0,1007.85,12.319
2009-02-05,19.8,29.2,0.0,8.0,13.1,39.0,59.0,1006.85,12.134
2009-02-06,17.9,33.1,0.0,8.8,8.5,44.0,62.5,1009.05,12.117
2009-02-07,18.7,46.4,0.0,10.8,8.5,83.0,14.5,1000.7,12.966
2009-02-08,18.6,22.5,0.8,20.2,2.3,44.0,70.5,1013.35,13.081
2009-02-09,16.1,21.4,0.6,7.4,9.0,56.0,40.5,1016.7,11.287
2009-02-10,14.1,21.2,0.0,7.2,10.0,54.0,37.5,1017.2,9.96
2009-02-11,14.3,20.2,0.0,6.8,0.7,54.0,47.0,1019.45,10.535
2009-02-12,14.4,23.7,0.0,5.8,10.9,57.0,47.5,1021.25,9.249
2009-02-13,12.8,28.0,0.0,7.8,11.8,43.0,42.5,1024.45,10.181
2009-02-14,14.0,28.4,0.0,5.8,12.3,41.0,43.0,1021.45,10.628
2009-02-15,14.8,29.6,0.0,6.8,11.7,54.0,48.0,1017.5,10.504
2009-02-16,16.0,30.1,0.0,7.8,12.2,37.0,51.5,1017.95,10.271
2009-02-17,15.8,31.7,0.0,8.2,12.0,37.0,38.0,1015.2,10.596
2009-02-18,17.0,27.8,0.0,9.4,7.7,35.0,58.0,1011.25,10.195
2009-02-19,16.8,30.5,0.0,6.6,11.3,37.0,58.0,1008.15,10.24
2009-02-20,18.0,24.6,0.0,8.0,7.4,46.0,59.0,1013.0,10.209
2009-02-21,17.4,23.8,0.2,6.4,8.9,44.0,59.0,1017.55,9.912
2009-02-22,16.9,25.5,0.0,6.4,10.1,35.0,64.0,1016.15,10.336
2009-02-23,16.2,35.0,0.0,6.6,9.0,56.0,39.5,1008.95,9.61
2009-02-24,14.3,21.3,0.0,10.6,12.2,50.0,42.5,1019.05,9.42
2009-02-25,14.1,21.6,1.2,7.6,3.4,37.0,75.0,1020.2,9.795
2009-02-26,14.2,31.2,0.2,4.4,11.0,35.0,61.5,1018.05,10.277
2009-02-27,14.3,34.0,0.0,7.8,8.7,72.0,33.0,1012.35,10.049
2009-02-28,16.1,23.2,0.0,12.4,6.3,48.0,54.5,1012.7,9.608
2009-03-01,14.5,19.8,1.6,6.2,0.8,41.0,73.0,1014.95,9.774
2009-03-02,15.3,25.6,0.0,4.6,10.1,37.0,53.0,1013.85,9.591
2009-03-03,16.8,32.5,0.8,7.6,1.0,93.0,53.5,1005.1,10.661
2009-03-04,14.0,19.0,2.4,10.0,4.4,63.0,43.5,1012.35,8.076
2009-03-05,12.5,17.6,2.0,4.6,0.2,52.0,74.0,1016.2,8.627
2009-03-06,12.6,20.1,6.6,2.6,5.4,39.0,72.0,1016.0,8.499
2009-03-07,13.0,20.4,0.4,3.4,6.4,33.0,59.0,1016.5,8.474
2009-03-08,14.7,21.2,0.0,4.2,5.0,41.0,53.5,1021.05,8.018
2009-03-09,9.7,25.2,0.0,4.2,10.1,31.0,59.0,1020.1,7.842
2009-03-10,13.5,26.2,0.0,4.0,6.2,30.0,68.0,1020.0,7.877
2009-03-11,15.8,29.8,0.0,4.6,5.5,39.0,60.5,1019.8,8.19
2009-03-12,18.2,25.2,5.4,4.8,2.4,59.0,69.0,1018.2,8.331
2009-03-13,17.7,29.0,3.0,3.8,9.8,37.0,63.0,1015.35,7.814
2009-03-14,18.6,23.3,0.4,6.8,4.1,83.0,77.0,1007.45,7.643
2009-03-15,12.0,18.9,20.4,3.6,2.9,50.0,58.5,1011.25,6.441
2009-03-16,12.7,21.9,0.4,5.6,5.0,48.0,54.5,1012.15,7.131
2009-03-17,13.9,20.1,0.2,5.0,4.9,41.0,59.0,1017.95,7.358
2009-03-18,14.3,28.5,0.0,4.0,8.8,41.0,41.5,1015.3,7.626
2009-03-19,14.8,33.1,0.0,8.0,10.2,50.0,25.5,1012.45,7.166
2009-03-20,16.8,23.8,0.0,8.8,10.5,31.0,66.0,1014.75,7.451
2009-03-21,15.4,34.6,0.0,6.2,10.6,59.0,32.5,1011.95,7.483
2009-03-22,20.4,25.6,0.0,14.8,6.1,48.0,47.0,1011.55,7.08
2009-03-23,14.7,19.9,1.6,8.0,4.5,33.0,60.5,1016.75,7.235
2009-03-24,13.8,21.1,0.0,1.0,3.4,26.0,65.0,1016.55,7.02
2009-03-25,15.7,23.9,2.4,2.2,3.2,31.0,75.5,1015.65,7.161
2009-03-26,15.4,24.0,0.0,2.6,8.4,52.0,65.0,1020.0,7.062
2009-03-27,12.7,20.5,0.0,5.4,9.4,33.0,55.0,1026.5,6.6
2009-03-28,9.7,26.7,0.0,4.0,9.6,26.0,57.5,1022.75,7.115
2009-03-29,11.3,24.7,0.0,6.2,11.1,37.0,50.5,1022.25,6.91
2009-03-30,14.0,22.5,0.0,4.8,9.3,31.0,68.5,1025.0,6.762
2009-03-31,14.5,30.1,0.0,4.2,10.5,39.0,57.0,1022.2,6.891
2009-04-01,15.4,29.8,0.0,6.2,10.3,30.0,52.0,1021.35,6.765
2009-04-02,16.9,32.8,0.0,6.2,10.4,50.0,39.5,1019.6,6.795
2009-04-03,21.2,24.7,0.0,10.6,2.1,,72.5,1015.45,6.153
2009-04-04,11.3,19.6,18.0,6.2,4.8,37.0,57.0,1022.6,5.73
2009-04-05,12.5,20.1,0.0,2.4,4.2,54.0,69.5,1019.25,5.671
2009-04-06,9.2,17.2,0.2,3.4,3.9,37.0,56.5,1025.5,5.128
2009-04-07,11.4,18.4,2.2,2.6,2.8,35.0,78.0,1029.05,4.98
2009-04-08,12.3,19.9,1.6,1.8,6.1,31.0,59.0,1027.2,4.94
2009-04-09,13.7,24.4,0.0,2.6,8.7,33.0,62.0,1021.1,4.804
2009-04-10,13.9,19.5,0.0,4.0,3.9,30.0,72.5,1019.6,4.693
2009-04-11,14.4,22.5,0.0,3.2,4.8,28.0,67.5,1022.35,4.71
2009-04-12,12.3,21.9,0.0,1.4,10.7,35.0,60.5,1022.0,4.642
2009-04-13,9.8,26.2,0.0,4.0,11.0,28.0,54.5,1020.45,4.741
2009-04-14,12.1,28.8,0.0,6.0,10.5,50.0,34.0,1011.3,4.707
2009-04-15,12.9,17.7,1.2,9.0,6.3,96.0,50.0,1009.15,4.422
2009-04-16,7.3,20.5,0.0,5.6,5.6,59.0,40.0,1011.4,4.177
2009-04-17,13.2,21.9,0.0,5.0,5.1,28.0,54.5,1017.35,4.219
2009-04-18,13.8,19.2,0.0,1.8,4.1,30.0,64.0,1023.4,4.14
