Date,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustSpeed,Humidity,Pressure,UVIEF
2009-01-01,24.5,31.5,2.4,4.2,3.4,39.0,73.0,1003.15,14.443
2009-01-02,27.7,32.3,0.0,5.2,7.0,43.0,65.5,1003.95,15.493
2009-01-03,25.8,32.7,2.0,6.0,5.6,48.0,73.0,1004.35,15.237
2009-01-04,26.1,31.1,15.0,5.6,5.4,48.0,77.5,1005.6,14.617
2009-01-05,23.8,31.7,24.2,6.6,3.1,44.0,82.5,1005.75,13.809
2009-01-06,24.0,32.7,6.0,3.0,8.0,39.0,71.5,1005.45,13.995
2009-01-07,27.7,33.3,0.0,7.2,11.4,43.0,69.5,1006.5,14.045
2009-01-08,28.5,33.4,0.0,7.2,5.9,50.0,74.0,1005.0,14.091
2009-01-09,28.8,31.0,0.0,7.4,1.3,74.0,71.0,1003.5,14.186
2009-01-10,25.0,31.8,10.4,4.6,2.7,52.0,77.5,1002.9,14.197
2009-01-11,24.0,32.4,9.8,3.0,9.6,43.0,69.5,1004.9,14.309
2009-01-12,27.6,33.9,0.0,6.6,11.3,39.0,69.5,1007.45,13.461
2009-01-13,25.1,33.7,0.0,6.8,10.2,35.0,69.0,1007.25,13.656
2009-01-14,26.2,30.0,7.4,6.4,0.9,48.0,80.5,1007.75,13.963
2009-01-15,23.5,33.0,7.0,3.2,0.0,65.0,70.5,1005.65,13.416
2009-01-16,23.6,30.8,53.0,8.2,7.2,35.0,77.0,1006.95,14.496
2009-01-17,26.3,31.6,0.0,6.2,3.8,30.0,82.0,1007.55,14.457
2009-01-18,25.2,32.6,0.4,3.0,5.9,31.0,73.0,1007.4,15.501
2009-01-19,26.9,32.8,0.0,5.6,6.1,35.0,70.0,1007.25,15.052
2009-01-20,26.5,33.1,1.6,3.8,8.2,44.0,70.0,1008.1,14.792
2009-01-21,25.0,32.5,14.4,7.4,6.8,35.0,72.0,1008.4,15.458
