Date,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustSpeed,Humidity,Pressure,UVIEF
2009-01-01,19.1,36.5,0.0,11.6,13.1,37.0,,1009.1,13.697
2009-01-02,21.5,35.4,0.0,12.8,13.2,44.0,,1008.25,13.476
2009-01-03,20.8,32.2,0.0,11.8,12.7,46.0,48.5,1011.65,13.503
2009-01-04,18.7,35.0,0.0,11.2,13.3,35.0,37.5,1014.9,14.393
2009-01-05,21.9,36.1,0.0,11.4,13.2,46.0,31.5,1012.6,13.592
2009-01-06,19.9,34.6,0.0,12.0,13.2,46.0,49.0,1012.1,13.594
2009-01-07,18.8,35.4,0.0,12.0,13.2,39.0,38.5,1012.5,13.999
2009-01-08,19.9,35.3,0.0,10.8,13.2,41.0,42.0,1012.85,13.866
2009-01-09,19.3,35.0,0.0,12.6,13.3,44.0,43.5,1013.55,13.732
2009-01-10,18.2,34.3,0.0,11.2,13.1,44.0,38.0,1011.65,13.752
2009-01-11,21.1,38.4,0.0,12.0,13.1,35.0,30.5,1007.35,13.301
2009-01-12,16.7,27.3,0.0,11.4,11.3,52.0,59.5,1008.1,13.278
2009-01-13,12.0,25.9,0.2,9.4,11.2,44.0,50.0,1016.25,13.535
2009-01-14,15.9,30.1,0.0,9.6,10.2,43.0,46.5,1015.9,12.681
2009-01-15,18.8,39.7,0.0,10.6,13.1,39.0,33.5,1014.1,13.966
2009-01-16,22.7,41.8,0.0,13.8,13.1,43.0,18.0,1010.05,14.029
2009-01-17,18.3,30.3,0.0,13.2,7.2,30.0,51.0,1014.55,13.285
2009-01-18,20.6,31.1,0.0,8.6,4.8,37.0,42.5,1013.4,14.182
2009-01-19,15.9,28.9,0.0,8.0,13.2,43.0,51.5,1015.05,12.354
2009-01-20,15.6,27.9,0.0,8.0,13.0,46.0,48.0,1016.7,13.357
2009-01-21,16.4,26.9,0.0,10.0,13.0,44.0,57.0,1014.65,13.883
2009-01-22,18.6,27.9,0.0,8.6,11.1,37.0,63.0,1012.55,13.859
2009-01-23,19.8,27.1,0.0,9.0,10.7,39.0,63.5,1012.65,15.093
2009-01-24,15.9,30.2,0.0,7.6,13.0,35.0,54.0,1012.55,14.136
2009-01-25,18.1,37.4,0.0,9.6,13.2,37.0,28.5,1010.1,13.676
2009-01-26,18.9,29.6,0.0,10.0,13.0,35.0,63.0,1007.8,13.609
2009-01-27,17.8,32.7,0.0,8.8,12.6,43.0,48.0,1006.05,14.234
2009-01-28,21.6,30.1,0.0,10.4,6.5,39.0,61.0,1002.3,13.908
2009-01-29,19.4,26.9,0.0,7.2,0.3,43.0,66.0,1007.75,13.038
2009-01-30,17.7,30.7,0.0,4.0,6.4,30.0,62.0,1008.6,13.401
2009-01-31,23.3,36.0,0.0,5.6,,31.0,52.5,1007.25,13.172
2009-02-01,22.2,35.8,0.4,6.4,13.1,35.0,55.0,1010.05,14.019
2009-02-02,22.3,38.6,0.0,10.6,13.1,33.0,48.0,1009.35,15.215
2009-02-03,21.2,31.7,0.0,10.2,11.9,31.0,63.0,1009.3,14.295
2009-02-04,20.0,30.4,0.0,8.0,13.0,46.0,60.5,1011.35,13.959
2009-02-05,17.1,30.8,0.0,11.2,12.9,46.0,50.5,1009.2,13.466
2009-02-06,16.0,25.5,0.0,10.6,12.3,52.0,50.0,1008.1,13.14
2009-02-07,11.4,25.8,0.0,9.0,12.7,44.0,47.5,1013.35,12.761
2009-02-08,15.6,33.2,0.0,9.4,13.0,43.0,35.5,1016.15,15.313
2009-02-09,17.6,34.9,0.0,12.8,12.9,43.0,35.0,1016.15,13.313
2009-02-10,19.8,37.1,0.0,12.6,11.4,39.0,30.5,1014.2,14.15
2009-02-11,23.7,39.7,0.0,10.4,12.8,41.0,18.0,1010.6,13.497
2009-02-12,20.5,40.1,0.0,11.2,9.4,43.0,22.5,1006.95,12.76
2009-02-13,21.5,29.4,0.0,11.8,4.3,41.0,54.5,1012.45,12.766
2009-02-14,18.3,28.3,0.0,7.4,1.3,39.0,44.0,1008.0,12.092
2009-02-15,16.1,31.3,0.2,3.6,12.0,31.0,61.5,1007.1,12.594
2009-02-16,19.4,26.3,0.0,6.8,11.4,41.0,60.0,1010.6,12.972
2009-02-17,16.3,30.2,0.0,9.0,12.5,44.0,48.0,1011.4,12.442
2009-02-18,17.3,30.6,0.0,8.0,12.5,37.0,44.5,1011.7,12.144
2009-02-19,16.7,32.4,0.0,11.6,12.4,39.0,41.5,1012.4,12.419
2009-02-20,18.3,36.8,0.0,11.0,12.3,39.0,38.0,1013.95,12.135
2009-02-21,21.5,39.8,0.0,14.2,11.0,37.0,22.5,1009.75,12.229
2009-02-22,20.7,29.6,0.0,11.8,10.9,44.0,52.5,1011.5,11.367
2009-02-23,17.1,34.3,0.0,7.4,11.8,39.0,42.5,1011.1,11.121
2009-02-24,19.3,25.3,0.0,7.2,5.7,35.0,67.5,1006.75,11.516
2009-02-25,14.2,22.2,0.0,6.0,4.2,39.0,85.0,1006.65,10.724
2009-02-26,10.0,23.5,7.6,3.8,11.3,33.0,59.5,1016.15,11.707
2009-02-27,14.4,29.2,0.0,6.4,12.0,39.0,52.0,1014.2,11.433
2009-02-28,15.4,36.8,0.0,6.6,9.2,37.0,37.5,1007.55,11.219
2009-03-01,21.7,33.0,0.2,8.2,9.7,39.0,55.5,1004.1,11.326
2009-03-02,18.1,23.5,0.2,7.4,9.5,54.0,55.5,1009.9,10.997
2009-03-03,7.7,26.0,0.0,10.4,11.2,31.0,41.5,1024.25,10.885
2009-03-04,13.6,30.7,0.0,6.6,11.7,39.0,34.0,1024.8,10.812
2009-03-05,15.8,33.8,0.0,10.0,11.7,35.0,33.5,1021.75,11.14
2009-03-06,14.4,33.4,0.0,8.0,11.6,41.0,31.5,1017.9,10.962
2009-03-07,17.0,31.8,0.0,11.6,11.5,43.0,42.0,1018.65,10.695
2009-03-08,16.8,34.3,0.0,8.0,11.7,33.0,32.5,1014.95,10.943
2009-03-09,14.2,35.3,0.0,10.0,11.6,31.0,29.5,1014.85,10.98
2009-03-10,15.5,37.2,0.0,9.0,11.8,28.0,28.5,1012.5,11.335
2009-03-11,13.3,30.8,0.0,8.8,4.9,35.0,39.0,1012.05,11.237
2009-03-12,19.3,26.6,0.0,5.4,5.3,37.0,59.5,1013.6,10.418
2009-03-13,14.0,27.4,0.0,7.0,11.0,44.0,50.0,1018.75,9.484
2009-03-14,14.1,31.6,0.0,8.2,10.9,37.0,40.0,1018.95,9.524
2009-03-15,16.4,39.8,0.0,12.2,7.1,33.0,25.5,1012.2,9.399
2009-03-16,16.2,30.8,0.0,5.4,10.8,30.0,53.0,1011.55,9.976
2009-03-17,19.1,24.5,0.0,7.4,2.9,39.0,64.5,1013.1,10.019
2009-03-18,15.6,24.0,0.8,4.0,9.8,33.0,61.5,1016.55,9.384
2009-03-19,10.3,25.4,0.0,6.2,11.5,31.0,51.5,1014.45,8.911
2009-03-20,14.9,25.0,0.0,8.4,5.8,37.0,51.5,1010.75,8.333
2009-03-21,12.1,24.1,2.8,3.2,10.1,28.0,58.5,1016.2,8.5
2009-03-22,8.5,23.5,0.0,6.2,10.4,31.0,62.5,1015.0,7.787
2009-03-23,13.8,24.7,0.0,4.4,8.0,31.0,65.0,1013.65,8.087
2009-03-24,13.6,25.0,2.6,2.8,10.0,28.0,63.5,1016.25,8.703
2009-03-25,15.5,25.4,0.2,4.8,10.6,30.0,64.5,1018.9,8.137
2009-03-26,15.9,31.3,0.0,7.2,10.7,31.0,48.0,1020.1,8.458
