Date,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustSpeed,Humidity,Pressure,UVIEF
2009-01-01,18.4,34.7,0.0,9.8,12.9,,47.5,1003.1,13.16
2009-01-02,18.8,22.7,0.0,11.0,5.9,,59.5,1013.3,12.218
2009-01-03,17.0,23.0,0.0,9.0,0.5,,53.5,1020.5,12.166
2009-01-04,18.7,24.6,0.0,5.4,11.3,,58.5,1016.9,13.276
2009-01-05,19.5,27.9,0.0,10.0,12.2,,63.0,1011.05,12.651
2009-01-06,20.2,28.3,0.0,10.0,11.8,,70.5,1009.8,13.651
2009-01-07,20.7,33.1,0.0,9.0,9.3,,69.5,1007.5,12.972
2009-01-08,20.4,22.4,0.0,9.8,0.0,,75.0,1012.9,13.329
2009-01-09,17.2,22.6,0.4,7.6,5.9,,50.5,1019.5,13.038
2009-01-10,18.3,23.4,0.0,7.6,6.1,,53.5,1015.5,12.419
2009-01-11,17.4,24.6,0.0,6.6,8.7,,57.5,1012.65,11.665
2009-01-12,18.7,26.8,1.2,8.8,11.4,,66.0,1015.9,12.238
2009-01-13,19.6,26.2,0.2,4.2,11.1,,65.0,1018.0,14.277
2009-01-14,20.8,29.7,0.0,10.2,13.0,,58.0,1012.9,13.655
2009-01-15,23.0,33.4,0.0,14.2,9.4,,50.0,1007.55,13.889
2009-01-16,18.8,25.0,1.8,10.2,10.1,,65.0,1010.75,12.367
2009-01-17,17.7,22.6,0.0,10.4,6.5,,50.0,1020.5,12.808
2009-01-18,14.8,23.3,0.0,5.6,12.7,,54.0,1020.95,12.995
2009-01-19,16.4,25.1,0.0,11.0,12.7,,56.0,1017.15,13.288
2009-01-20,20.1,28.7,0.0,9.0,12.4,,57.5,1012.15,13.991
2009-01-21,21.3,31.1,1.6,12.8,7.4,,60.5,1010.0,13.43
2009-01-22,23.4,33.6,1.0,8.0,9.8,,48.5,1007.2,12.725
2009-01-23,25.0,31.7,0.0,14.2,11.9,,58.5,1008.4,13.496
2009-01-24,24.8,40.9,0.0,10.6,11.1,,37.5,1003.8,12.108
2009-01-25,20.5,25.9,0.0,13.6,6.8,,54.0,1018.9,13.692
2009-01-26,20.8,26.8,0.0,6.8,1.2,,76.0,1019.2,13.429
2009-01-27,20.2,23.9,14.2,1.8,1.7,,94.0,1020.5,13.023
2009-01-28,19.9,27.1,4.4,1.8,12.3,,69.0,1017.25,13.499
2009-01-29,21.2,28.3,0.0,8.6,12.5,,70.0,1017.55,13.646
2009-01-30,21.1,28.2,0.0,10.2,13.0,,65.5,1017.25,13.865
2009-01-31,21.8,29.1,0.0,10.6,11.5,,65.0,1015.85,13.767
2009-02-01,21.2,28.1,0.0,9.2,11.1,,68.5,1016.15,13.26
2009-02-02,22.9,28.3,0.0,6.4,9.8,,71.0,1014.25,12.998
2009-02-03,21.8,28.0,0.0,10.8,7.5,,61.5,1010.4,13.749
2009-02-04,21.6,27.3,0.4,7.0,7.1,,77.5,1010.5,13.38
2009-02-05,22.2,29.2,0.0,6.6,12.2,,65.5,1007.5,13.885
2009-02-06,21.9,29.5,0.0,9.8,10.8,,69.5,1009.65,13.127
2009-02-07,21.8,33.5,0.0,10.4,11.8,,51.0,1011.95,13.611
2009-02-08,21.4,28.6,0.0,14.2,12.2,,61.0,1009.15,13.603
2009-02-09,20.9,22.5,0.0,9.0,0.0,,82.5,1011.8,12.662
2009-02-10,17.9,19.4,3.4,1.6,0.0,,91.5,1011.0,13.338
2009-02-11,16.7,23.0,5.6,2.2,1.5,,69.0,1011.15,10.797
2009-02-12,17.5,22.0,0.6,4.0,1.1,,66.0,1018.1,11.663
2009-02-13,16.4,20.4,23.2,5.4,0.0,,88.0,1025.2,10.828
2009-02-14,17.0,21.2,19.6,4.4,0.0,,66.5,1021.05,11.473
2009-02-15,16.5,23.3,25.6,2.4,0.2,,77.0,1014.3,11.22
2009-02-16,18.6,25.0,16.4,4.8,6.4,,72.0,1017.7,10.569
2009-02-17,19.4,22.9,3.8,7.4,0.0,,70.5,1016.2,11.071
2009-02-18,19.4,26.6,24.6,3.2,7.1,,77.5,1009.15,11.327
2009-02-19,18.9,28.4,1.4,3.6,11.4,,67.0,1006.5,11.625
2009-02-20,20.3,26.1,0.0,7.8,9.6,,73.0,1010.9,10.895
2009-02-21,21.9,24.4,0.0,6.4,0.3,,76.5,1013.25,11.02
2009-02-22,20.3,24.9,2.2,2.4,6.3,,64.5,1018.05,10.832
2009-02-23,19.6,27.0,0.0,4.6,5.3,,70.5,1014.95,11.262
2009-02-24,19.9,30.5,0.8,5.4,10.7,,69.5,1013.65,10.675
2009-02-25,21.1,26.4,0.0,7.0,7.0,,73.0,1015.65,11.307
2009-02-26,19.6,24.6,0.0,7.6,6.8,,66.0,1019.55,10.236
2009-02-27,17.5,23.5,0.0,6.0,5.6,,64.0,1017.05,10.543
2009-02-28,17.5,25.4,0.0,4.8,5.6,,65.5,1008.2,10.263
2009-03-01,20.5,25.7,0.0,6.8,10.0,,65.0,1010.75,10.327
2009-03-02,21.8,25.5,0.0,6.0,9.0,,65.5,1015.9,10.536
2009-03-03,20.8,26.9,0.0,6.8,6.9,,58.0,1016.6,11.324
2009-03-04,22.5,25.1,0.0,7.6,0.5,,61.0,1008.25,10.777
2009-03-05,16.8,24.6,0.0,5.0,11.0,,38.0,1009.05,9.284
2009-03-06,14.4,23.6,0.0,7.8,9.8,,57.5,1012.4,9.69
2009-03-07,17.7,26.3,0.0,4.8,9.2,,67.5,1013.0,9.848
2009-03-08,20.2,25.3,0.0,5.0,4.1,,78.5,1018.25,10.179
2009-03-09,18.2,24.5,36.8,2.0,4.4,,81.5,1021.3,10.214
2009-03-10,19.1,24.5,0.6,3.6,6.7,,59.5,1021.65,9.258
2009-03-11,20.2,23.4,0.0,6.2,1.8,,64.5,1023.25,9.322
2009-03-12,18.2,25.3,1.2,5.0,9.8,,72.0,1021.65,9.309
2009-03-13,19.6,25.5,0.0,6.4,2.2,,80.5,1017.4,8.843
2009-03-14,19.9,27.2,0.0,4.0,6.4,,73.0,1012.4,8.594
2009-03-15,19.2,27.4,17.0,8.4,6.6,,71.0,1009.25,8.007
2009-03-16,16.1,26.8,0.4,6.8,10.8,,35.5,1009.95,7.636
2009-03-17,15.9,25.7,0.0,6.1,11.0,,47.5,1012.95,7.893
2009-03-18,17.1,24.5,0.0,5.4,10.1,,62.0,1017.55,8.377
2009-03-19,17.5,27.7,0.0,6.0,9.7,,71.5,1015.2,8.594
2009-03-20,19.9,26.1,0.0,6.2,8.6,,74.5,1017.0,8.177
2009-03-21,19.6,25.3,0.0,6.2,8.7,,70.5,1018.05,8.063
2009-03-22,17.6,26.7,0.0,5.6,8.4,,70.0,1016.5,7.983
2009-03-23,19.5,25.7,0.2,8.0,10.2,,63.5,1016.1,7.385
2009-03-24,20.5,26.1,0.0,5.8,10.8,,63.0,1017.1,7.577
2009-03-25,20.8,26.0,0.0,7.0,8.0,,64.5,1018.6,7.562
2009-03-26,20.5,26.6,1.4,5.2,7.6,,64.0,1018.05,7.874
2009-03-27,20.6,23.5,0.4,5.8,4.8,,64.0,1023.8,6.949
2009-03-28,16.4,23.5,0.0,4.4,10.8,,67.0,1024.3,7.689
2009-03-29,16.1,24.4,0.0,6.6,9.4,,71.5,1022.65,7.215
2009-03-30,18.6,26.2,0.0,4.0,6.7,,65.5,1023.2,6.811
2009-03-31,19.8,22.5,2.6,6.0,0.0,,87.5,1021.1,7.26
2009-04-01,18.4,24.7,46.0,5.0,2.3,,83.0,1021.05,7.47
2009-04-02,19.6,24.7,11.4,3.8,2.4,,83.0,1022.55,7.8
2009-04-03,20.1,25.1,5.0,2.6,7.9,,82.5,1019.0,7.549
2009-04-04,18.3,20.8,3.0,4.2,1.4,,71.0,1018.45,6.647
2009-04-05,17.1,22.8,0.0,5.6,8.0,,69.5,1017.25,6.726
2009-04-06,17.0,21.1,0.2,3.4,6.9,,64.0,1020.05,6.021
2009-04-07,16.3,21.3,0.2,5.8,7.7,,61.0,1025.0,5.89
2009-04-08,12.8,22.4,0.0,5.6,9.3,,62.5,1025.9,5.681
2009-04-09,15.1,23.2,0.0,2.8,8.4,,65.0,1023.9,5.882
2009-04-10,14.7,22.7,0.0,4.0,8.3,,73.0,1022.3,5.864
2009-04-11,17.4,23.8,0.0,3.2,0.8,,74.5,1024.2,6.148
2009-04-12,18.9,26.1,0.2,0.8,,,80.5,1021.9,6.358
2009-04-13,20.4,22.6,0.0,3.6,0.1,,81.5,1020.9,6.219
2009-04-14,17.6,26.9,48.0,,7.8,,79.5,1013.15,5.705
2009-04-15,16.1,29.3,0.2,5.0,10.0,,47.5,1009.0,5.78
2009-04-16,14.9,24.1,0.0,10.0,9.8,,40.5,1013.45,5.588
2009-04-17,13.5,24.1,0.0,4.8,10.3,,53.5,1016.1,4.851
2009-04-18,14.2,22.8,0.0,5.2,7.9,,61.0,1019.05,5.281
2009-04-19,15.8,22.5,13.4,3.4,8.3,,76.5,1018.9,4.856
2009-04-20,15.9,21.4,9.0,7.0,2.9,,59.5,1019.8,4.811
2009-04-21,16.4,22.1,0.6,5.4,5.0,,61.5,1022.05,4.993
2009-04-22,16.0,22.7,6.8,3.4,7.7,,75.0,1023.4,4.64
2009-04-23,14.7,21.6,2.0,4.2,6.3,,73.5,1020.0,4.788
2009-04-24,13.1,24.7,0.0,2.0,9.0,,69.0,1009.65,5.062
2009-04-25,16.3,23.9,0.4,5.4,10.3,,46.0,1003.4,4.734
2009-04-26,16.7,20.2,0.0,6.8,9.2,,38.0,1003.1,4.109
2009-04-27,11.2,18.7,0.0,7.2,9.9,,34.5,1012.85,4.119
2009-04-28,11.8,21.9,0.0,4.0,10.5,,42.0,1015.2,4.495
2009-04-29,10.2,17.6,0.0,4.6,2.4,,61.0,1020.9,4.338
2009-04-30,11.0,17.4,6.2,2.4,2.7,,90.0,1020.45,4.112
2009-05-01,10.2,22.5,5.6,3.0,10.3,,64.5,1022.75,4.147
2009-05-02,10.9,22.0,0.0,2.2,9.4,,58.5,1023.9,3.913
2009-05-03,11.4,20.5,13.0,3.6,7.0,,73.0,1026.65,3.9
2009-05-04,12.1,23.3,0.0,3.2,10.0,,68.5,1027.0,3.922
2009-05-05,14.0,21.0,1.2,1.8,4.2,,73.5,1029.5,3.821
2009-05-06,12.9,22.9,0.8,3.2,9.7,,76.5,1026.0,3.704
2009-05-07,12.0,22.7,0.0,4.0,10.2,,55.5,1023.0,3.392
2009-05-08,12.3,20.9,0.0,2.6,9.5,,66.0,1026.25,3.424
2009-05-09,11.1,22.8,0.0,4.4,9.8,,60.0,1022.3,3.483
2009-05-10,13.0,20.1,0.8,3.4,3.4,,66.0,1024.1,3.33
2009-05-11,11.8,18.9,1.4,3.4,6.4,,64.5,1023.8,3.544
2009-05-12,9.6,20.1,0.0,2.6,5.5,,64.5,1019.85,3.483
2009-05-13,10.4,21.3,0.0,1.6,9.7,,59.5,1014.8,3.164
2009-05-14,11.1,21.5,0.0,2.6,10.1,,40.5,1011.6,3.049
2009-05-15,12.4,21.7,0.0,6.2,8.7,,46.0,1011.25,3.034
2009-05-16,14.2,21.7,0.0,5.0,7.8,,43.5,1008.15,3.022
2009-05-17,11.4,20.7,0.0,4.8,9.7,,52.0,1018.2,3.117
2009-05-18,10.5,20.9,0.0,2.6,5.2,,63.0,1024.5,3.019
2009-05-19,13.0,21.4,2.6,2.4,4.4,,72.0,1022.95,3.004
2009-05-20,14.5,21.2,20.2,4.4,3.0,,65.0,1021.1,3.009
2009-05-21,14.8,19.7,27.2,1.8,0.2,,57.5,1022.95,3.084
2009-05-22,15.6,19.6,4.6,6.6,0.0,,72.0,1022.2,2.995
2009-05-23,15.4,20.8,17.6,5.0,6.0,,73.0,1023.45,3.047
2009-05-24,17.4,21.3,1.6,4.4,7.4,,50.0,1026.1,3.018
2009-05-25,13.6,20.3,0.0,3.6,2.2,,71.5,1024.5,2.87
2009-05-26,12.8,23.4,0.0,0.6,8.4,,73.0,1020.6,2.747
2009-05-27,13.9,16.9,0.0,3.0,0.1,,87.0,1019.4,2.611
2009-05-28,12.0,19.2,3.6,0.4,7.7,,82.0,1020.8,2.591
2009-05-29,11.4,17.5,0.0,2.4,6.1,,65.0,1022.8,2.596
2009-05-30,9.9,16.5,15.0,4.6,4.0,,80.0,1027.65,2.442
2009-05-31,11.6,18.8,10.6,1.2,2.8,,76.5,1032.6,2.448
2009-06-01,13.1,16.8,0.6,3.0,0.0,,75.0,1031.65,2.404
2009-06-02,12.5,19.1,0.0,1.2,3.4,,79.5,1028.6,2.351
2009-06-03,13.7,18.5,8.0,2.8,0.1,,88.0,1024.1,2.329
2009-06-04,13.1,17.0,10.4,0.0,0.6,,91.5,1018.75,2.384
2009-06-05,13.1,18.5,0.6,1.0,3.5,,74.0,1013.55,2.331
2009-06-06,9.3,19.0,0.0,2.2,9.8,,58.0,1012.1,2.418
2009-06-07,10.7,19.8,0.2,3.8,6.6,,61.0,1006.5,2.385
2009-06-08,11.4,19.2,0.0,3.2,9.0,,48.5,1008.55,2.069
2009-06-09,10.0,16.2,0.0,2.6,6.0,,53.0,1009.9,1.989
