Temperature;Humidity;Windspeed;UV;Season;Weather
32.0;66;6.0;2;Spring;Rainy
15.0;96;11.0;0;Autumn;Rainy
28.0;58;6.5;10;Summer;Sunny
47.0;84;44.5;2;Winter;Rainy
18.0;66;14.0;1;Autumn;Cloudy
32.0;67;5.5;3;Winter;Cloudy
36.0;60;5.0;9;Spring;Sunny
39.0;20;0.5;8;Summer;Sunny
17.0;91;23.0;9;Spring;Cloudy
8.0;50;13.5;11;Summer;Rainy
21.0;81;13.5;1;Autumn;Rainy
21.0;85;8.0;3;Winter;Rainy
2.0;105;24.0;6;Winter;Snowy
11.0;59;1.0;1;Summer;Cloudy
-2.0;97;17.5;0;Winter;Snowy
-6.0;81;21.5;12;Winter;Snowy
30.0;56;12.0;2;Summer;Cloudy
11.0;53;1.0;4;Winter;Cloudy
38.0;83;1.5;7;Spring;Sunny
16.0;76;11.0;0;Summer;Rainy
-4.0;95;7.5;1;Winter;Snowy
23.0;77;18.5;6;Autumn;Rainy
16.0;75;14.5;0;Spring;Rainy
-3.0;67;5.5;1;Winter;Snowy
16.0;78;9.0;0;Winter;Rainy
31.0;51;1.5;7;Spring;Sunny
0.0;22;12.0;12;Summer;Rainy
32.0;75;1.5;1;Summer;Cloudy
39.0;60;9.5;8;Spring;Sunny
27.0;98;14.5;1;Spring;Rainy
-9.0;89;3.5;1;Winter;Snowy
-10.0;81;3.5;0;Winter;Snowy
42.0;36;1.5;8;Winter;Sunny
-6.0;86;9.0;0;Winter;Snowy
30.0;53;13.5;1;Summer;Cloudy
11.0;89;18.0;3;Autumn;Rainy
30.0;61;11.5;2;Autumn;Cloudy
12.0;56;9.5;4;Winter;Cloudy
44.0;64;8.5;6;Winter;Sunny
-3.0;68;16.0;1;Winter;Snowy
32.0;72;16.0;1;Autumn;Rainy
20.0;109;18.5;13;Autumn;Sunny
39.0;58;1.5;5;Winter;Sunny
-5.0;74;9.5;0;Winter;Snowy
35.0;50;7.0;7;Autumn;Sunny
24.0;71;10.5;12;Winter;Cloudy
17.0;93;15.0;12;Autumn;Sunny
14.0;67;14.5;0;Winter;Rainy
23.0;77;12.0;9;Summer;Rainy
13.0;95;12.0;3;Winter;Rainy
-12.0;100;18.0;4;Winter;Snowy
-4.0;63;4.0;1;Winter;Snowy
44.0;29;8.0;11;Summer;Sunny
37.0;61;3.0;6;Autumn;Sunny
43.0;41;1.0;5;Autumn;Sunny
29.0;70;13.0;2;Autumn;Cloudy
